login,followers,following,company,has_bio,time_in_years,public_repos,average_stars,languages_used
AguaPotavel,0.0016552767859254179,0.00011507287251181066,0.0,1.0,0.4117647058823529,0.0019044858923137433,0.0001203095966954964,0.26666666666666666
yianzaratin,0.003759842985173449,0.0001537792023566924,0.0,0.0,0.3529411764705882,0.0010764485478295073,0.0006416511823759808,0.26666666666666666
italosantana,0.0018444512757454657,0.0002123617556354324,1.0,1.0,0.3529411764705882,0.0014283644192353076,0.00030745785822182414,0.23333333333333334
eymel,0.0028139705360732104,0.00036509484096929013,1.0,1.0,0.5294117647058824,0.0005382242739147536,0.00012699346317857955,0.23333333333333334
Justice-Orogun,0.00439830688831611,0.00043413856447637654,1.0,1.0,0.29411764705882354,0.006086074481959137,0.0006683866483083134,0.13333333333333333
AndreSousaaa,0.0012059873726028045,9.205829800944852e-05,0.0,0.0,0.4117647058823529,0.00043471960585422407,9.357413076316388e-05,0.16666666666666666
softdream815,0.004469247321998628,0.0003441725005125973,1.0,0.0,0.1764705882352941,0.0005589252075268595,0.0010159477054286364,0.26666666666666666
Adarsh9616,0.0026011492350256566,8.996606396377923e-05,1.0,1.0,0.47058823529411764,0.00045542053946632995,0.007138369403932787,0.16666666666666666
uadson,0.002648442857480669,0.00018097824495039313,0.0,1.0,0.29411764705882354,0.0015111681536837311,0.00015372892911091207,0.23333333333333334
Lazytangent,0.006502873087564142,0.0004780754794354315,1.0,1.0,0.29411764705882354,0.001552570020907943,0.002493082198190009,0.43333333333333335
hiagopsilva,0.0028849109697557285,4.916750007322819e-05,0.0,1.0,0.3529411764705882,0.0010764485478295073,0.0002807223922894916,0.23333333333333334
driellyps,0.002435621556433115,0.00011298063846614137,1.0,1.0,0.29411764705882354,0.0002484112033452709,0.0003876642560188217,0.1
jsilva23,0.0020099789543380074,0.00020817728754409382,1.0,1.0,0.29411764705882354,0.0014283644192353076,0.00014704506262782895,0.26666666666666666
rafaelaprm,0.0020809193880205255,9.833500014645637e-05,1.0,1.0,0.47058823529411764,0.00016560746889684726,0.0006683866483083134,0.1
antoniomedeiros1,0.00021282130104755372,1.2553404274015707e-05,1.0,0.0,0.23529411764705882,0.0003312149377936945,0.00020719986097557713,0.23333333333333334
migueravila,0.007377805102981863,0.00027617489402834557,1.0,1.0,0.4117647058823529,0.0003312149377936945,0.18200836820083682,0.2
MarceloIMenezes,0.00021282130104755372,1.359952129685035e-05,0.0,0.0,0.29411764705882354,8.280373444842363e-05,0.0,0.06666666666666667
brunojuca,0.00044928941332261345,2.4060691525196772e-05,1.0,1.0,0.29411764705882354,0.0006417289419752831,0.00010694186372933014,0.3333333333333333
whitedragon3257,0.005509707016008891,0.0002908205323480306,0.0,1.0,0.058823529411764705,4.1401867224211814e-05,0.0013367732966166267,0.0
cvinicius369,0.005533353827236397,0.00034312638348976264,0.0,1.0,0.11764705882352941,0.0002898130705694827,0.0011429411686072158,0.2
datrexora,0.005107711225141289,0.00022177680884094417,0.0,1.0,0.11764705882352941,0.0007245326764237067,0.0005146577191974014,0.16666666666666666
GihanJeewantha,0.0044456005107711225,0.00022177680884094417,0.0,1.0,0.1764705882352941,6.210280083631772e-05,0.0013367732966166267,0.06666666666666667
SUBSPACETR1MINE,0.00938778405731987,0.0005680415433992108,0.0,1.0,0.058823529411764705,2.0700933612105907e-05,0.0,0.0
xbze3,0.004942183546548748,0.00019248553220157418,0.0,0.0,0.058823529411764705,0.00045542053946632995,0.0005146577191974014,0.23333333333333334
fschmid311,0.004043604719903521,0.00019876223433858205,0.0,0.0,0.11764705882352941,0.0006417289419752831,4.01031988984988e-05,0.1
JagadishSivakumar,0.0037361961739459434,0.0002594370216629913,1.0,1.0,0.47058823529411764,0.0010557476142174012,0.001704385953186199,0.26666666666666666
alicaglayan,0.012367282271985622,0.0012898622891551138,1.0,1.0,0.7058823529411764,0.00035191587140580044,0.0009023219752162231,0.16666666666666666
Siddharth1698,0.004516540944453641,3.8706329844881767e-05,0.0,1.0,0.47058823529411764,0.0032914484443248393,0.0005681286510620663,0.4
mikegwhit,0.025916905105346544,0.018392829495478682,1.0,0.0,0.7647058823529411,0.00022771026973316498,0.00018046439504324462,0.06666666666666667
Programming76,0.006431932653881624,0.0011768816506889726,0.0,1.0,0.47058823529411764,0.00018630840250895316,0.0012632507653027123,0.2
edu-bot,0.01168152474638795,0.004156222931722034,1.0,0.0,0.5294117647058824,0.00010350466806052953,0.0014704506262782895,0.03333333333333333
h4m5t,0.006739341199839202,0.0008389858523133831,1.0,1.0,0.29411764705882354,0.0006210280083631772,0.01713074979614207,0.13333333333333333
Ninolos,0.002459268367660621,0.00021445398968110167,1.0,1.0,0.23529411764705882,0.0006417289419752831,4.01031988984988e-05,0.13333333333333333
renansantosmendes,0.0014424554848778642,0.00013494909594566885,1.0,1.0,0.5294117647058824,0.0028360279048585094,0.0002539869263571591,0.2
GeunSam2,0.00657381352124666,0.0005251507454629904,1.0,1.0,0.4117647058823529,0.0013041588175626722,0.0006282834494098146,0.3
gcamargos,0.00018917448982004776,1.359952129685035e-05,0.0,0.0,0.23529411764705882,0.00035191587140580044,0.0,0.13333333333333333
digisaude,0.00021282130104755372,9.415053205511781e-06,0.0,0.0,0.4117647058823529,0.0,0.0,0.0
taisserodio,0.00021282130104755372,1.359952129685035e-05,0.0,1.0,0.29411764705882354,0.0014283644192353076,0.0,0.1
LucasCalabria7,0.0007566979592801911,3.4521861753543196e-05,0.0,1.0,0.1764705882352941,0.0026290185687374503,6.683866483083134e-05,0.16666666666666666
Afmjuniors,0.0010877533164652747,7.42743086212596e-05,0.0,0.0,0.1764705882352941,0.001138551348665825,4.678706538158194e-05,0.26666666666666666
gb-franca,0.0001655276785925418,1.1507287251181065e-05,0.0,0.0,0.058823529411764705,0.00012420560167263544,0.0,0.1
beatriz-soares,0.0003310553571850836,1.2553404274015707e-05,0.0,0.0,0.5294117647058824,0.0003726168050179063,4.01031988984988e-05,0.2
lemtd,0.0006384639031426612,2.71990425937007e-05,0.0,1.0,0.3529411764705882,0.0002898130705694827,0.0001403611961447458,0.16666666666666666
adoniasdantas,0.00044928941332261345,2.301457450236213e-05,1.0,0.0,0.5882352941176471,0.00043471960585422407,0.0,0.06666666666666667
marianaccq,0.0006384639031426612,2.301457450236213e-05,0.0,1.0,0.5294117647058824,0.00041401867224211814,0.0,0.16666666666666666
kathleenrego,0.0008985788266452269,2.8245159616535343e-05,1.0,1.0,0.47058823529411764,0.0005175233403026477,0.0,0.36666666666666664
periclesmacedo,0.0007094043368251791,6.904372350708639e-05,0.0,0.0,0.7058823529411764,0.0003726168050179063,7.352253131391447e-05,0.2
luciangomes7,0.0006148170919151552,9.310441503228317e-05,0.0,1.0,0.3529411764705882,0.0002898130705694827,0.0,0.16666666666666666
marcosjoao37,0.0011823405613752985,3.0337393662204625e-05,0.0,0.0,0.6470588235294118,0.00016560746889684726,0.0014169796944136243,0.2
AnneGoncalo,0.0003310553571850836,1.359952129685035e-05,0.0,1.0,0.5294117647058824,0.0003726168050179063,7.352253131391447e-05,0.06666666666666667
Trunkol,0.0005202298470051314,3.242962770787391e-05,0.0,1.0,0.6470588235294118,0.000683130809199495,0.0,0.3333333333333333
