user,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
AguaPotavel,0.025092993090073713,0.00540240898135299,0.0,0.04345183117932288,0.0041900087818349425,0.0061152249937016226
yianzaratin,0.001175348423857178,0.048929418577884014,0.0,0.0,0.08282625214901938,0.0
italosantana,0.0334447162457986,0.03203348428362995,0.0017043822295184597,0.016594134430394793,0.026598050957744174,0.01994980302847148
eymel,0.03084847590345731,0.0006085064794389721,0.0021344259109601343,0.021441064389948698,0.0,0.0
Justice-Orogun,0.04876721282756813,0.0,0.0,0.05147850188789592,0.04343338483004179,0.0
AndreSousaaa,0.00023033083602920948,0.02015708554955453,0.0,0.0,0.010073313574533675,0.0008153762280547555
softdream815,0.021627015875493146,0.0,0.0,0.0,0.0,0.0
Adarsh9616,0.018756195009230616,0.0,0.0,0.0482951486779235,0.006679044320881022,0.004339133302709665
uadson,0.011323063155369054,0.03347948579711169,0.0,0.047453692910922426,0.00036396287473962124,0.03431567537294024
Lazytangent,0.04301030392944272,0.0,0.005847666600090556,0.028018558745283625,0.0,0.0
hiagopsilva,0.04624863344467365,0.055077016584088166,0.0,0.0,0.0,0.0
driellyps,0.06047432688521849,0.011193515567764819,0.0,0.0,0.10343847507353192,0.0
jsilva23,0.043412555631382514,0.03608450232122789,0.0,0.019349780510821257,0.06340274212666906,0.004980386160981697
rafaelaprm,0.0,0.026708818850776674,0.0,0.006988715101076564,0.0004197871311017627,0.06886886898387068
antoniomedeiros1,0.0004260923996334313,0.04630257436584479,0.0,0.0060683103260087985,0.0029910030890918453,0.001638863363538515
migueravila,0.000843086229178327,0.0,0.0,0.023635707848502222,0.0021573662976639477,0.0
brunojuca,0.01658886999550224,0.0,0.013759948618442791,0.002971829629184874,0.00736770650825811,0.06826908916866434
whitedragon3257,0.0036049327249816927,0.0,0.11640847723845499,0.006401892516185154,0.0,0.0
cvinicius369,0.00891567795238738,0.03477783268245905,0.03500425754681839,0.013149828419318308,0.0023290536583801956,0.011652505539081459
datrexora,0.010136513081013437,0.0,0.0,0.029829035233727565,0.0,0.0
GihanJeewantha,0.011760517347190847,0.0,0.0,0.022865702635936836,0.004638711874274961,0.0
SUBSPACETR1MINE,0.0006517938731480983,0.0,0.0,0.00038916965235014734,0.0,0.0
xbze3,0.021490305761695524,0.0,0.02236886634413796,0.04914618855679117,0.017409525360911227,0.0
fschmid311,0.013018255878328668,0.0,0.01660430380297145,0.010788751134778852,0.0,0.0
JagadishSivakumar,6.261645593146131e-05,0.0,0.0,0.08375528573775892,0.035276115852746835,0.0
alicaglayan,0.0114887209084434,0.0027783346602780917,0.0,0.04006430849165235,0.0,0.0015212101100185594
Siddharth1698,0.0248239063221908,0.0,0.0,0.08677305134104213,0.00023894112959863334,0.0
mikegwhit,0.005806553995742558,0.0,0.0,0.02252517928018711,0.007024208918962627,0.0
Programming76,0.010212169731416545,0.0,0.0,0.014073139235872188,0.0,0.00017202406623126942
edu-bot,0.009269562832987776,0.0016465585405508495,0.0,0.01886487284975574,0.0,0.0
h4m5t,0.004085066666220174,0.0002828320192874322,0.01146951483590613,0.0333075934924315,0.0,0.0
Ninolos,0.029871896460458215,0.038155148286387046,0.0025782922532756785,0.007070636122713522,0.0,0.0008663095738052038
renansantosmendes,0.0,0.0,0.0,0.03833761518642232,0.0,0.0011718245863054655
GeunSam2,0.014748642614838199,0.0,0.0,0.03920555614965232,0.004612489001082021,0.0
gcamargos,0.0,0.01271057024308079,0.0,0.0,0.09143771318261,0.0026400445917671832
taisserodio,0.0,0.058983234135224015,0.0,0.0,0.0,0.02089064978992209
LucasCalabria7,0.0,0.004327963851279312,0.00020940584043110385,0.002376929567008145,0.0014803517599954322,0.050542919135955926
Afmjuniors,0.003366849196578295,0.053860915478920676,0.011913991522406863,0.007067599191110945,0.0,0.007007761196144387
gb-franca,0.0,0.0,0.0,0.0,0.0,0.0
beatriz-soares,0.0,0.02352249503822663,0.0,0.013706728548839999,0.0,0.011432933460571051
lemtd,0.0,0.0,0.0,0.0,0.0,0.0
adoniasdantas,0.015202903930996612,0.0,0.012543737469262314,0.007918508844447508,0.0,0.0
marianaccq,0.0,0.0,0.0,0.0,0.0,0.10778394030666814
kathleenrego,0.0031190004960831726,0.0,0.004628770747263367,0.013269778027816422,0.002267044622619287,0.03828242495929248
periclesmacedo,0.019325463437371255,0.0011757181144178056,0.007047618348434502,0.04330377829463785,0.0,0.0
luciangomes7,0.0,0.056921588052196236,0.002642267544936224,0.001182106715191862,0.0,0.07261388130885388
marcosjoao37,0.0,0.007288280155087781,0.0,0.008764402084301,0.0,0.0055873988598839405
AnneGoncalo,0.001878524747875448,0.0,0.0,0.0009623394908016327,0.0,0.05829953088795216
Trunkol,0.007922444050212139,0.0,0.0,0.03943661708018885,0.0,0.016647498681439617
AnaGoncalo,0.0012642851325692197,0.0,0.0,0.0,0.0,0.09029464134896088
carlosemv,0.0,0.0,0.0,0.015837898209606613,0.0,0.015190350461301643
martalais,0.0,0.000602529205375601,0.0008933600658551622,0.050852566193450424,0.0,0.031473939351899634
carolmb,0.005793273581775409,0.0,0.0,0.0005654531078303392,0.0,0.0592806050192568
harguus,0.04886462135898221,0.004295152145622748,0.0,0.0,0.01287791383226523,0.009625892356273189
totabraz,0.04225341922058296,0.0016433275812331625,0.0,0.011476308685830662,0.0,0.014988198135078257
Ramon-Mateus,0.011157884648403359,0.10802265345434366,0.0,0.002767910760962376,0.00287260004949756,0.014670727346329343
roliveirapereira,0.0023525179319687176,0.0,0.0,0.0,0.004531330597174782,0.1648609179438093
BrunnoFOS,0.0,0.005789094955916522,0.05850748120500174,0.0,0.0,0.08984282820317355
niedsonf,0.02386472044470722,0.0,0.0,0.012795846844712081,5.1520934810156226e-05,0.006561394742753327
PedrooHcb,0.0053596624981112695,0.02957271602441879,0.0,0.0,0.0,0.053176189582142847
BLRocha,0.0067070459481276675,0.01669646602425181,0.0012553445254710153,0.025796826702737405,0.0461796974346535,0.010205398118655501
SauloDanielArts,0.0,0.035854102186257,0.0018096813344634678,0.0036063730397573133,0.005021739234784093,0.06364275809116358
joelbrs,0.0042849017400432505,0.016293438619376106,0.0,0.011794793601138352,0.0015087803266791392,0.0
rafaelcicerojoe,0.0,0.00020056858642772957,0.0,0.0358597823377324,0.0010402847095389138,0.011355961239263163
SamirSouzaSys,0.0012786186988863653,0.0689436531656853,0.0003922655453871308,0.014627802442070629,0.010966460016172965,0.07866191379527908
gabrielborralhogomes,0.0,0.008276593755339531,0.0,0.001510363770055943,0.0017570757457571952,0.044226550203319635
xbaldez,0.0,0.0018633557371677187,0.0,0.0,0.000808941349881586,0.004561152478695699
gabrielsilva28,0.0,0.0,0.0,0.0,0.0,0.09889969219942665
brvcelose,0.0,0.08552365665000751,0.0,0.002436395824804117,0.06624283675418732,0.0044536539693987055
Soliun,0.0,0.0,0.0,0.017774700036969508,0.0,0.022454019879204354
Hematophagus,0.0,0.003630796844561237,0.0,0.011026764861237057,0.0023245970040936216,0.0020246667888593785
souza-jpeg,0.038782485975962934,0.02366406946174735,0.0,0.0,0.0,0.03584733888775252
pedropva,0.0017080307976921228,0.0028246109116718933,0.0,0.04062557459157867,0.0033981537241686605,0.01209455826964528
neliareis,0.0010907126199941961,0.007064537080842826,0.0,0.008605229486073285,0.0,0.07223338862668156
YagoGomesDaSilva,0.0,0.05138971587415237,0.0,5.4018321370744046e-05,0.016005953639257192,0.05868746325411963
Caca404,0.0028102855336608027,0.08935730058546644,0.0,0.0,0.02084282577625855,0.007637578514765395
diego-rib,0.013286543985281906,0.08219645933859092,0.003595731806676582,0.0,0.0,0.009780172121680196
GustavoLemes97,0.0,0.0037574513844150443,0.0,0.0,0.0029574539957303537,0.0
gabiazevedo,0.005724994377059247,0.050224624514746394,0.0,0.0,0.005530654015781641,0.04918812003905456
josanjohnata,0.01453493930578239,0.030521008970320822,0.0,0.022244027593830443,0.019935613111434155,0.011856751661341624
lucianolanes,0.005078560384213926,0.069145644767212,0.0,0.0,0.02190647194255033,0.0005627107173574028
bigbigDreamer,0.044854206599272105,0.0003579628702127255,0.0,0.020877649100731963,0.0038359844474034673,0.0
RafaelCes,0.0,0.0,0.00010912540394425466,0.0,0.04045641153981963,0.03405060133804123
vitor-m-cardoso,0.01199030710487374,0.05546285976115276,0.0,0.0,0.0,0.01320611645077803
bbeatrizr,0.0,0.09042439890240545,0.0,0.0,0.07270536536896824,0.0021843337284277566
Arthur-Ita,0.0,0.011714885711241662,0.0,0.0,0.0,0.0030699475407582706
Rafael2208,0.0035995059152725507,0.03694689863438385,0.0,0.008028613558380849,0.0,0.006724470269126892
frederikme,0.0,0.0,0.012573226304766138,0.05558691286086923,0.023282091580533668,0.001229403099491215
congshengwu,0.02969782682648481,0.0,0.0,0.029500474526359552,0.0,0.0
gsabreudev,0.00014988062054790754,0.005385165531505458,0.007260171287833975,0.011967343153784069,0.0,0.03312352710570765
MoisesCatonio,0.0,0.004848986397987532,0.0,0.03816552310912396,0.0,0.034279236451556616
deyvidwms,0.0,0.1226051581845341,0.0,0.0006875009998134877,0.008096626446856763,0.029487882841211625
alanIF,0.012766745513161105,0.0630154366410269,0.0,0.007667560987050206,0.0,0.02763291742574867
gentil-eilison,0.040540415615588195,0.020012951490437476,0.0,0.03747463140911721,0.010889193822640954,0.025464974715305497
nilmarlanna,0.0,0.05539989038396093,0.0,0.0,0.0,0.01077603731561158
Lucas-Braz7x,0.00609636740759395,0.06976148112497642,0.002199954501114774,0.0,0.015041490416820852,0.03467908531315835
cogumm,0.011093166385677058,0.02044095468356031,0.002916357194746421,0.05850258087289076,0.01470585098981604,0.004368473008146436
mathlima1,0.006996497191563012,0.08869659931259767,0.0,0.0,0.016437178854429902,0.0012475369974860064
gandhigautam,0.08717274255456733,0.0,0.0,0.034050962798251753,0.012193851168873332,0.0
HemersonRafael,0.0,0.023329607433149838,0.003391394839945185,0.02511506787042904,0.0006951100317236029,0.06969019871116541
joaomendesln,0.0,0.02402392629461585,0.0,0.017823698263669925,0.0,0.07789347163982233
